,name,label
12424,nguyen cao thi,1
52977,phong kham bao tram,0
4969,le truong son,1
38527,dt nguyen van son,0
48031,dtbnguyen van thinh,0
50838,cua hang nguyen bao quyen,0
4169,nguyen minh quy,1
38540,dt vo bich hanh,0
22487,trinh minh phuc,1
24580,hoang van thuan,1
5344,le cong quan,1
24384,le vu duong,1
34610,cong ty san xuat - thuong mai truong kim,0
27617,chi nhanh cong ty trach nhiem huu han du lich sinh thai my khanh-cua hang xang dau vi thanh,0
31305,cty tnhh thuong mai dich vu ky thuat nam phat,0
23323,nguyen thanh vin,1
10913,tran minh anh,1
51445,thanh,0
12608,pham cong anh,1
39436,dl bich dao,0
29138,cong ty trach nhiem huu han dich vu minh tam ho,0
6310,ho quoc thao,1
1381,vo hoang thong,1
53320,thai,0
36665,cb phan bach kim,0
35324,ch vo bao anh,0
28085,cty tnhh thuong mai dich vu van tai tay dong duong,0
34131,cty tnhh xay dung va kinh doanh da tu nhien tuan thong,0
5614,tran thi minh quang,1
44801,dgdnguyen anh tai,0
14338,nguyen khac bao sa,1
49966,ho kinh doanh bich dao,0
59076,tan,0
15412,pham dinh thanh,1
41130,pk phan khanh thuan,0
2268,nguyen minh thanh,1
41427,dccdvvtld son,0
27214,cong ty tnhh cuoc goi,0
35972,cn thao,0
13809,huynh tuan son,1
57292,thuan,0
27390,cty tnhh dich vu thuong mai xnk nong lam hai san thanh binh,0
